Loaded dataset with 291742 molecules from pretraining_data/drugs
epoch 001 step 00050/4559 (  1.1%) lr 3.42105e-07
epoch 001 step 00100/4559 (  2.2%) lr 6.84211e-07
epoch 001 step 00150/4559 (  3.3%) lr 1e-06
epoch 001 step 00200/4559 (  4.4%) lr 1.34211e-06
epoch 001 step 00250/4559 (  5.5%) lr 1.65789e-06
epoch 001 step 00300/4559 (  6.6%) lr 2e-06
epoch 001 step 00350/4559 (  7.7%) lr 2.31579e-06
epoch 001 step 00400/4559 (  8.8%) lr 2.65789e-06
epoch 001 step 00450/4559 (  9.9%) lr 2.97368e-06
epoch 001 step 00500/4559 ( 11.0%) lr 3.31579e-06
epoch 001 step 00550/4559 ( 12.1%) lr 3.63158e-06
epoch 001 step 00600/4559 ( 13.2%) lr 3.97368e-06
epoch 001 step 00650/4559 ( 14.3%) lr 4.28947e-06
epoch 001 step 00700/4559 ( 15.4%) lr 4.63158e-06
epoch 001 step 00750/4559 ( 16.5%) lr 4.94737e-06
epoch 001 step 00800/4559 ( 17.5%) lr 5.28947e-06
epoch 001 step 00850/4559 ( 18.6%) lr 5.60526e-06
epoch 001 step 00900/4559 ( 19.7%) lr 5.94737e-06
epoch 001 step 00950/4559 ( 20.8%) lr 6.26316e-06
epoch 001 step 01000/4559 ( 21.9%) lr 6.60526e-06
epoch 001 step 01050/4559 ( 23.0%) lr 6.92105e-06
epoch 001 step 01100/4559 ( 24.1%) lr 7.26316e-06
epoch 001 step 01150/4559 ( 25.2%) lr 7.57895e-06
epoch 001 step 01200/4559 ( 26.3%) lr 7.92105e-06
epoch 001 step 01250/4559 ( 27.4%) lr 8.23684e-06
epoch 001 step 01300/4559 ( 28.5%) lr 8.57895e-06
epoch 001 step 01350/4559 ( 29.6%) lr 8.89474e-06
epoch 001 step 01400/4559 ( 30.7%) lr 9.23684e-06
epoch 001 step 01450/4559 ( 31.8%) lr 9.55263e-06
epoch 001 step 01500/4559 ( 32.9%) lr 9.89474e-06
epoch 001 step 01550/4559 ( 34.0%) lr 1.02105e-05
epoch 001 step 01600/4559 ( 35.1%) lr 1.05526e-05
epoch 001 step 01650/4559 ( 36.2%) lr 1.08684e-05
epoch 001 step 01700/4559 ( 37.3%) lr 1.12105e-05
epoch 001 step 01750/4559 ( 38.4%) lr 1.15263e-05
epoch 001 step 01800/4559 ( 39.5%) lr 1.18684e-05
epoch 001 step 01850/4559 ( 40.6%) lr 1.21842e-05
epoch 001 step 01900/4559 ( 41.7%) lr 1.25263e-05
epoch 001 step 01950/4559 ( 42.8%) lr 1.28421e-05
epoch 001 step 02000/4559 ( 43.9%) lr 1.31842e-05
epoch 001 step 02050/4559 ( 45.0%) lr 1.35e-05
epoch 001 step 02100/4559 ( 46.1%) lr 1.38421e-05
epoch 001 step 02150/4559 ( 47.2%) lr 1.41579e-05
epoch 001 step 02200/4559 ( 48.3%) lr 1.45e-05
epoch 001 step 02250/4559 ( 49.4%) lr 1.48158e-05
epoch 001 step 02300/4559 ( 50.4%) lr 1.51579e-05
epoch 001 step 02350/4559 ( 51.5%) lr 1.54737e-05
epoch 001 step 02400/4559 ( 52.6%) lr 1.58158e-05
epoch 001 step 02450/4559 ( 53.7%) lr 1.61316e-05
epoch 001 step 02500/4559 ( 54.8%) lr 1.64737e-05
epoch 001 step 02550/4559 ( 55.9%) lr 1.67895e-05
epoch 001 step 02600/4559 ( 57.0%) lr 1.71316e-05
epoch 001 step 02650/4559 ( 58.1%) lr 1.74474e-05
epoch 001 step 02700/4559 ( 59.2%) lr 1.77895e-05
epoch 001 step 02750/4559 ( 60.3%) lr 1.81053e-05
epoch 001 step 02800/4559 ( 61.4%) lr 1.84474e-05
epoch 001 step 02850/4559 ( 62.5%) lr 1.87632e-05
epoch 001 step 02900/4559 ( 63.6%) lr 1.91053e-05
epoch 001 step 02950/4559 ( 64.7%) lr 1.94211e-05
epoch 001 step 03000/4559 ( 65.8%) lr 1.97632e-05
epoch 001 step 03050/4559 ( 66.9%) lr 2.00789e-05
epoch 001 step 03100/4559 ( 68.0%) lr 2.04211e-05
epoch 001 step 03150/4559 ( 69.1%) lr 2.07368e-05
epoch 001 step 03200/4559 ( 70.2%) lr 2.10789e-05
epoch 001 step 03250/4559 ( 71.3%) lr 2.13947e-05
epoch 001 step 03300/4559 ( 72.4%) lr 2.17368e-05
